,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_smote__sampling_strategy,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
58,0.7381251335144043,0.04364505755902055,0.006096363067626953,0.0014303392862958218,auto,0.1,5,100,"{'smote__sampling_strategy': 'auto', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 100}",0.4864864864864865,0.5111111111111111,0.41304347826086957,0.43478260869565216,0.4835164835164835,0.4657880336141205,0.03616691785274298,38
59,1.3729503631591797,0.06087830890921762,0.008442401885986328,0.0010650729914878265,auto,0.1,5,200,"{'smote__sampling_strategy': 'auto', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 200}",0.47058823529411764,0.525,0.46153846153846156,0.41975308641975306,0.5063291139240507,0.47664177943527664,0.03666315405529231,32
60,1.324251079559326,0.05384890548930222,0.006315088272094727,0.0018138804934450094,auto,0.1,10,50,"{'smote__sampling_strategy': 'auto', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 10, 'xgb__n_estimators': 50}",0.5205479452054794,0.5161290322580645,0.391304347826087,0.44680851063829785,0.5274725274725275,0.48045247268009117,0.053236554584032404,25
61,1.838847827911377,0.044496571826391204,0.008845281600952149,0.000761739015906633,auto,0.1,10,100,"{'smote__sampling_strategy': 'auto', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 10, 'xgb__n_estimators': 100}",0.5428571428571428,0.5287356321839081,0.4,0.449438202247191,0.5111111111111111,0.4864284176798705,0.053705649981441554,10
62,2.4227752685546875,0.06277081229391832,0.009321451187133789,0.0012965863029674959,auto,0.1,10,200,"{'smote__sampling_strategy': 'auto', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 10, 'xgb__n_estimators': 200}",0.5538461538461539,0.5185185185185185,0.4050632911392405,0.43373493975903615,0.5116279069767442,0.4845581620479386,0.055837867319887435,16
63,0.21929616928100587,0.003574061979577523,0.005971527099609375,0.0011366764384054537,auto,0.3,3,50,"{'smote__sampling_strategy': 'auto', 'xgb__learning_rate': 0.3, 'xgb__max_depth': 3, 'xgb__n_estimators': 50}",0.4835164835164835,0.5473684210526316,0.33663366336633666,0.37735849056603776,0.41904761904761906,0.4327849355098217,0.07511183251631011,71
64,0.36049609184265136,0.003909080600759743,0.006569671630859375,0.0015324396960919473,auto,0.3,3,100,"{'smote__sampling_strategy': 'auto', 'xgb__learning_rate': 0.3, 'xgb__max_depth': 3, 'xgb__n_estimators': 100}",0.5,0.5238095238095238,0.3488372093023256,0.425531914893617,0.4772727272727273,0.45509027505563876,0.0622811213253031,48
65,0.7668498992919922,0.05707323411442425,0.007590103149414063,0.0008039180121230954,auto,0.3,3,200,"{'smote__sampling_strategy': 'auto', 'xgb__learning_rate': 0.3, 'xgb__max_depth': 3, 'xgb__n_estimators': 200}",0.463768115942029,0.5185185185185185,0.34210526315789475,0.40476190476190477,0.5194805194805194,0.4497268643721732,0.06840946932624274,55
66,0.41112446784973145,0.04775129054667538,0.00571293830871582,0.0015394737197196014,auto,0.3,5,50,"{'smote__sampling_strategy': 'auto', 'xgb__learning_rate': 0.3, 'xgb__max_depth': 5, 'xgb__n_estimators': 50}",0.5352112676056338,0.5227272727272727,0.4,0.4666666666666667,0.5348837209302325,0.49189778558596114,0.05245210767359028,5
67,0.6335793495178222,0.004389588441952759,0.008118534088134765,0.0016130403140506813,auto,0.3,5,100,"{'smote__sampling_strategy': 'auto', 'xgb__learning_rate': 0.3, 'xgb__max_depth': 5, 'xgb__n_estimators': 100}",0.5294117647058824,0.5,0.38961038961038963,0.4691358024691358,0.5121951219512195,0.4800706157473254,0.049328158064658616,28
